country_code,team,team_code,season,year,league_tier,league_games,league_points,group,group_games,group_points,lat,lon
UKR,Girnyk-Sport Gorishni Plavni,HHP,2020/21,2020,2,30,38,,,,49.0041068089422,33.6481277947022
UKR,Girnyk-Sport Gorishni Plavni,HHP,2021/22,2021,2,20,29,,,,49.0041068089422,33.6481277947022
UKR,Girnyk-Sport Gorishni Plavni,HHP,2022/23,2022,2,14,8,2,14,11,49.0041068089422,33.6481277947022
UKR,Girnyk-Sport Gorishni Plavni,HHP,2023/24,2023,2,18,17,2,10,6,49.0041068089422,33.6481277947022
UKR,Girnyk-Sport Gorishni Plavni,HHP,2024/25,2024,3,18,26,,,,49.0041068089422,33.6481277947022
UKR,Polissya Zhytomyr,PZH,2018/19,2018,3,27,45,,,,50.2462097491441,28.6692005177122
UKR,Polissya Zhytomyr,PZH,2019/20,2019,3,20,39,,,,50.2462097491441,28.6692005177122
UKR,Polissya Zhytomyr,PZH,2020/21,2020,2,30,35,,,,50.2462097491441,28.6692005177122
UKR,Polissya Zhytomyr,PZH,2021/22,2021,2,18,25,,,,50.2462097491441,28.6692005177122
UKR,Polissya Zhytomyr,PZH,2022/23,2022,2,14,40,1,14,32,50.2462097491441,28.6692005177122
UKR,Polissya Zhytomyr,PZH,2023/24,2023,1,30,50,,,,50.2462097491441,28.6692005177122
UKR,Polissya Zhytomyr,PZH,2024/25,2024,1,30,48,,,,50.2462097491441,28.6692005177122
UKR,Kremin Kremenchuk,KRE,2018/19,2018,3,27,61,,,,49.0773855544413,33.4287606094337
UKR,Kremin Kremenchuk,KRE,2019/20,2019,2,30,27,,,,49.0773855544413,33.4287606094337
UKR,Kremin Kremenchuk,KRE,2020/21,2020,2,30,24,,,,49.0773855544413,33.4287606094337
UKR,Kremin Kremenchuk,KRE,2021/22,2021,2,20,13,,,,49.0773855544413,33.4287606094337
UKR,Kremin Kremenchuk,KRE,2022/23,2022,2,14,21,1,14,7,49.0773855544413,33.4287606094337
UKR,Kremin Kremenchuk,KRE,2023/24,2023,2,18,14,2,10,11,49.0773855544413,33.4287606094337
UKR,Kremin Kremenchuk,KRE,2024/25,2024,2,16,9,2,10,5,49.0773855544413,33.4287606094337
UKR,Nyva Ternopil,NTP,2018/19,2018,3,27,36,,,,49.5529804294775,25.6092576033389
UKR,Nyva Ternopil,NTP,2019/20,2019,3,20,41,,,,49.5529804294775,25.6092576033389
